Date_Time,NO2(GT)
22/09/2004 21.00.00,213
22/09/2004 22.00.00,183
22/09/2004 23.00.00,163
23/09/2004 00.00.00,152
23/09/2004 01.00.00,104
23/09/2004 02.00.00,61
23/09/2004 03.00.00,-200
23/09/2004 04.00.00,1138
23/09/2004 05.00.00,84
23/09/2004 06.00.00,132
23/09/2004 07.00.00,422
23/09/2004 08.00.00,282
23/09/2004 09.00.00,293
23/09/2004 10.00.00,334
23/09/2004 11.00.00,324
23/09/2004 12.00.00,294
23/09/2004 13.00.00,273
23/09/2004 14.00.00,275
23/09/2004 15.00.00,282
23/09/2004 16.00.00,323
23/09/2004 17.00.00,442
23/09/2004 18.00.00,431
23/09/2004 19.00.00,402
23/09/2004 20.00.00,313
23/09/2004 21.00.00,228
23/09/2004 22.00.00,218
23/09/2004 23.00.00,179
24/09/2004 00.00.00,859
24/09/2004 01.00.00,83
24/09/2004 02.00.00,80
24/09/2004 03.00.00,-200
24/09/2004 04.00.00,66
24/09/2004 05.00.00,109
24/09/2004 06.00.00,232
24/09/2004 07.00.00,535
24/09/2004 08.00.00,684
24/09/2004 09.00.00,803
24/09/2004 10.00.00,539
24/09/2004 11.00.00,364
24/09/2004 12.00.00,422
24/09/2004 13.00.00,483
24/09/2004 14.00.00,496
24/09/2004 15.00.00,403
24/09/2004 16.00.00,282
24/09/2004 17.00.00,268
24/09/2004 18.00.00,306
24/09/2004 19.00.00,293
24/09/2004 20.00.00,895
24/09/2004 21.00.00,93
24/09/2004 22.00.00,99
24/09/2004 23.00.00,55
25/09/2004 00.00.00,19
25/09/2004 01.00.00,26
25/09/2004 02.00.00,26
25/09/2004 03.00.00,-200
25/09/2004 04.00.00,42
25/09/2004 05.00.00,32
25/09/2004 06.00.00,25
25/09/2004 07.00.00,28
25/09/2004 08.00.00,41
25/09/2004 09.00.00,1067
25/09/2004 10.00.00,173
25/09/2004 11.00.00,168
25/09/2004 12.00.00,51
25/09/2004 13.00.00,31
25/09/2004 14.00.00,1161
25/09/2004 15.00.00,41
25/09/2004 16.00.00,54
25/09/2004 17.00.00,112
25/09/2004 18.00.00,178
25/09/2004 19.00.00,218
25/09/2004 20.00.00,241
25/09/2004 21.00.00,223
25/09/2004 22.00.00,279
25/09/2004 23.00.00,330
26/09/2004 00.00.00,330
26/09/2004 01.00.00,341
26/09/2004 02.00.00,205
26/09/2004 03.00.00,-200
26/09/2004 04.00.00,969
26/09/2004 05.00.00,102
26/09/2004 06.00.00,79
26/09/2004 07.00.00,989
26/09/2004 08.00.00,261
26/09/2004 09.00.00,107
26/09/2004 10.00.00,103
26/09/2004 11.00.00,1147
26/09/2004 12.00.00,1127
26/09/2004 13.00.00,110
26/09/2004 14.00.00,98
26/09/2004 15.00.00,146
26/09/2004 16.00.00,119
26/09/2004 17.00.00,234
26/09/2004 18.00.00,261
26/09/2004 19.00.00,371
26/09/2004 20.00.00,266
26/09/2004 21.00.00,268
26/09/2004 22.00.00,294
26/09/2004 23.00.00,303
27/09/2004 00.00.00,241
27/09/2004 01.00.00,142
27/09/2004 02.00.00,921
27/09/2004 03.00.00,-200
27/09/2004 04.00.00,104
27/09/2004 05.00.00,179
27/09/2004 06.00.00,361
27/09/2004 07.00.00,799
27/09/2004 08.00.00,618
27/09/2004 09.00.00,275
27/09/2004 10.00.00,325
27/09/2004 11.00.00,327
27/09/2004 12.00.00,252
27/09/2004 13.00.00,226
27/09/2004 14.00.00,230
27/09/2004 15.00.00,244
27/09/2004 16.00.00,788
27/09/2004 17.00.00,346
27/09/2004 18.00.00,407
27/09/2004 19.00.00,490
27/09/2004 20.00.00,434
27/09/2004 21.00.00,345
27/09/2004 22.00.00,192
27/09/2004 23.00.00,157
28/09/2004 00.00.00,994
28/09/2004 01.00.00,105
28/09/2004 02.00.00,141
28/09/2004 03.00.00,-200
28/09/2004 04.00.00,107
28/09/2004 05.00.00,166
28/09/2004 06.00.00,241
28/09/2004 07.00.00,368
28/09/2004 08.00.00,498
28/09/2004 09.00.00,641
28/09/2004 10.00.00,667
28/09/2004 11.00.00,550
28/09/2004 12.00.00,483
28/09/2004 13.00.00,524
28/09/2004 14.00.00,481
28/09/2004 15.00.00,305
28/09/2004 16.00.00,396
28/09/2004 17.00.00,501
28/09/2004 18.00.00,702
28/09/2004 19.00.00,755
28/09/2004 20.00.00,524
28/09/2004 21.00.00,247
28/09/2004 22.00.00,196
28/09/2004 23.00.00,135
29/09/2004 00.00.00,146
29/09/2004 01.00.00,106
29/09/2004 02.00.00,70
29/09/2004 03.00.00,-200
29/09/2004 04.00.00,1145
29/09/2004 05.00.00,60
29/09/2004 06.00.00,92
29/09/2004 07.00.00,739
29/09/2004 08.00.00,600
29/09/2004 09.00.00,693
29/09/2004 10.00.00,617
29/09/2004 11.00.00,569
29/09/2004 12.00.00,409
29/09/2004 13.00.00,335
29/09/2004 14.00.00,290
29/09/2004 15.00.00,312
29/09/2004 16.00.00,440
29/09/2004 17.00.00,597
29/09/2004 18.00.00,578
29/09/2004 19.00.00,615
29/09/2004 20.00.00,536
29/09/2004 21.00.00,238
29/09/2004 22.00.00,249
29/09/2004 23.00.00,150
30/09/2004 00.00.00,108
30/09/2004 01.00.00,879
30/09/2004 02.00.00,1030
30/09/2004 03.00.00,1138
30/09/2004 04.00.00,1036
30/09/2004 05.00.00,932
30/09/2004 06.00.00,778
30/09/2004 07.00.00,520
30/09/2004 08.00.00,436
30/09/2004 09.00.00,544
30/09/2004 10.00.00,525
30/09/2004 11.00.00,504
30/09/2004 12.00.00,-200
30/09/2004 13.00.00,223
30/09/2004 14.00.00,267
30/09/2004 15.00.00,308
30/09/2004 16.00.00,422
30/09/2004 17.00.00,623
30/09/2004 18.00.00,572
30/09/2004 19.00.00,514
30/09/2004 20.00.00,414
30/09/2004 21.00.00,143
30/09/2004 22.00.00,147
30/09/2004 23.00.00,159
01/10/2004 00.00.00,206
01/10/2004 01.00.00,140
01/10/2004 02.00.00,132
01/10/2004 03.00.00,-200
01/10/2004 04.00.00,81
01/10/2004 05.00.00,120
01/10/2004 06.00.00,279
01/10/2004 07.00.00,392
01/10/2004 08.00.00,433
01/10/2004 09.00.00,531
01/10/2004 10.00.00,619
01/10/2004 11.00.00,522
01/10/2004 12.00.00,505
01/10/2004 13.00.00,465
01/10/2004 14.00.00,383
01/10/2004 15.00.00,278
01/10/2004 16.00.00,372
01/10/2004 17.00.00,540
01/10/2004 18.00.00,435
01/10/2004 19.00.00,411
01/10/2004 20.00.00,524
01/10/2004 21.00.00,598
01/10/2004 22.00.00,645
01/10/2004 23.00.00,686
02/10/2004 00.00.00,642
02/10/2004 01.00.00,699
02/10/2004 02.00.00,742
02/10/2004 03.00.00,858
02/10/2004 04.00.00,867
02/10/2004 05.00.00,774
02/10/2004 06.00.00,751
02/10/2004 07.00.00,612
02/10/2004 08.00.00,592
02/10/2004 09.00.00,608
02/10/2004 10.00.00,648
02/10/2004 11.00.00,614
02/10/2004 12.00.00,630
02/10/2004 13.00.00,639
02/10/2004 14.00.00,739
02/10/2004 15.00.00,704
02/10/2004 16.00.00,690
02/10/2004 17.00.00,638
02/10/2004 18.00.00,617
02/10/2004 19.00.00,512
02/10/2004 20.00.00,553
02/10/2004 21.00.00,666
02/10/2004 22.00.00,668
02/10/2004 23.00.00,691
03/10/2004 00.00.00,720
03/10/2004 01.00.00,788
03/10/2004 02.00.00,850
03/10/2004 03.00.00,881
03/10/2004 04.00.00,908
03/10/2004 05.00.00,948
03/10/2004 06.00.00,972
03/10/2004 07.00.00,829
03/10/2004 08.00.00,800
03/10/2004 09.00.00,727
03/10/2004 10.00.00,647
03/10/2004 11.00.00,711
03/10/2004 12.00.00,663
03/10/2004 13.00.00,715
03/10/2004 14.00.00,794
03/10/2004 15.00.00,769
03/10/2004 16.00.00,775
03/10/2004 17.00.00,716
03/10/2004 18.00.00,647
03/10/2004 19.00.00,514
03/10/2004 20.00.00,498
03/10/2004 21.00.00,654
03/10/2004 22.00.00,735
03/10/2004 23.00.00,745
04/10/2004 00.00.00,828
04/10/2004 01.00.00,838
04/10/2004 02.00.00,969
04/10/2004 03.00.00,1037
04/10/2004 04.00.00,997
04/10/2004 05.00.00,937
04/10/2004 06.00.00,858
04/10/2004 07.00.00,706
04/10/2004 08.00.00,550
04/10/2004 09.00.00,505
04/10/2004 10.00.00,527
04/10/2004 11.00.00,519
04/10/2004 12.00.00,516
04/10/2004 13.00.00,561
04/10/2004 14.00.00,625
04/10/2004 15.00.00,612
04/10/2004 16.00.00,528
04/10/2004 17.00.00,451
04/10/2004 18.00.00,391
04/10/2004 19.00.00,378
04/10/2004 20.00.00,520
04/10/2004 21.00.00,699
04/10/2004 22.00.00,731
04/10/2004 23.00.00,787
05/10/2004 00.00.00,810
05/10/2004 01.00.00,971
05/10/2004 02.00.00,1081
05/10/2004 03.00.00,1072
05/10/2004 04.00.00,1053
05/10/2004 05.00.00,955
05/10/2004 06.00.00,763
05/10/2004 07.00.00,476
05/10/2004 08.00.00,491
05/10/2004 09.00.00,525
05/10/2004 10.00.00,513
05/10/2004 11.00.00,539
05/10/2004 12.00.00,453
05/10/2004 13.00.00,516
05/10/2004 14.00.00,575
05/10/2004 15.00.00,611
05/10/2004 16.00.00,533
05/10/2004 17.00.00,459
05/10/2004 18.00.00,401
05/10/2004 19.00.00,380
05/10/2004 20.00.00,475
05/10/2004 21.00.00,500
05/10/2004 22.00.00,602
05/10/2004 23.00.00,688
06/10/2004 00.00.00,760
06/10/2004 01.00.00,810
06/10/2004 02.00.00,841
06/10/2004 03.00.00,943
06/10/2004 04.00.00,992
06/10/2004 05.00.00,933
06/10/2004 06.00.00,804
06/10/2004 07.00.00,506
06/10/2004 08.00.00,429
06/10/2004 09.00.00,473
06/10/2004 10.00.00,560
06/10/2004 11.00.00,530
06/10/2004 12.00.00,542
06/10/2004 13.00.00,518
06/10/2004 14.00.00,563
06/10/2004 15.00.00,530
06/10/2004 16.00.00,542
06/10/2004 17.00.00,476
06/10/2004 18.00.00,463
06/10/2004 19.00.00,360
06/10/2004 20.00.00,427
06/10/2004 21.00.00,542
06/10/2004 22.00.00,641
06/10/2004 23.00.00,620
07/10/2004 00.00.00,650
07/10/2004 01.00.00,814
07/10/2004 02.00.00,894
07/10/2004 03.00.00,925
07/10/2004 04.00.00,948
07/10/2004 05.00.00,852
07/10/2004 06.00.00,741
07/10/2004 07.00.00,518
07/10/2004 08.00.00,383
07/10/2004 09.00.00,491
07/10/2004 10.00.00,516
07/10/2004 11.00.00,587
07/10/2004 12.00.00,571
07/10/2004 13.00.00,561
07/10/2004 14.00.00,566
07/10/2004 15.00.00,605
07/10/2004 16.00.00,267
07/10/2004 17.00.00,398
07/10/2004 18.00.00,418
07/10/2004 19.00.00,515
07/10/2004 20.00.00,396
07/10/2004 21.00.00,326
07/10/2004 22.00.00,209
07/10/2004 23.00.00,183
08/10/2004 00.00.00,165
08/10/2004 01.00.00,111
08/10/2004 02.00.00,67
08/10/2004 03.00.00,-200
08/10/2004 04.00.00,88
08/10/2004 05.00.00,147
08/10/2004 06.00.00,279
08/10/2004 07.00.00,665
08/10/2004 08.00.00,592
08/10/2004 09.00.00,557
08/10/2004 10.00.00,693
08/10/2004 11.00.00,530
08/10/2004 12.00.00,412
08/10/2004 13.00.00,366
08/10/2004 14.00.00,344
08/10/2004 15.00.00,339
08/10/2004 16.00.00,297
08/10/2004 17.00.00,294
08/10/2004 18.00.00,211
08/10/2004 19.00.00,323
08/10/2004 20.00.00,333
08/10/2004 21.00.00,163
08/10/2004 22.00.00,151
08/10/2004 23.00.00,167
09/10/2004 00.00.00,174
09/10/2004 01.00.00,142
09/10/2004 02.00.00,155
09/10/2004 03.00.00,-200
09/10/2004 04.00.00,96
09/10/2004 05.00.00,154
09/10/2004 06.00.00,211
09/10/2004 07.00.00,381
09/10/2004 08.00.00,470
09/10/2004 09.00.00,464
09/10/2004 10.00.00,450
09/10/2004 11.00.00,274
09/10/2004 12.00.00,306
09/10/2004 13.00.00,308
09/10/2004 14.00.00,186
09/10/2004 15.00.00,238
09/10/2004 16.00.00,249
09/10/2004 17.00.00,378
09/10/2004 18.00.00,386
09/10/2004 19.00.00,461
09/10/2004 20.00.00,394
09/10/2004 21.00.00,266
09/10/2004 22.00.00,158
09/10/2004 23.00.00,319
10/10/2004 00.00.00,409
10/10/2004 01.00.00,621
10/10/2004 02.00.00,107
10/10/2004 03.00.00,-200
10/10/2004 04.00.00,942
10/10/2004 05.00.00,56
10/10/2004 06.00.00,163
10/10/2004 07.00.00,187
10/10/2004 08.00.00,150
10/10/2004 09.00.00,807
10/10/2004 10.00.00,143
10/10/2004 11.00.00,220
10/10/2004 12.00.00,301
10/10/2004 13.00.00,214
10/10/2004 14.00.00,162
10/10/2004 15.00.00,232
10/10/2004 16.00.00,254
10/10/2004 17.00.00,224
10/10/2004 18.00.00,733
10/10/2004 19.00.00,334
10/10/2004 20.00.00,239
10/10/2004 21.00.00,168
10/10/2004 22.00.00,185
10/10/2004 23.00.00,178
11/10/2004 00.00.00,132
11/10/2004 01.00.00,135
11/10/2004 02.00.00,39
11/10/2004 03.00.00,-200
11/10/2004 04.00.00,33
11/10/2004 05.00.00,90
11/10/2004 06.00.00,164
11/10/2004 07.00.00,336
11/10/2004 08.00.00,366
11/10/2004 09.00.00,565
11/10/2004 10.00.00,536
11/10/2004 11.00.00,416
11/10/2004 12.00.00,379
11/10/2004 13.00.00,368
11/10/2004 14.00.00,444
11/10/2004 15.00.00,352
11/10/2004 16.00.00,375
11/10/2004 17.00.00,479
11/10/2004 18.00.00,448
11/10/2004 19.00.00,537
11/10/2004 20.00.00,376
11/10/2004 21.00.00,224
11/10/2004 22.00.00,206
11/10/2004 23.00.00,143
12/10/2004 00.00.00,113
12/10/2004 01.00.00,915
12/10/2004 02.00.00,58
12/10/2004 03.00.00,-200
12/10/2004 04.00.00,56
12/10/2004 05.00.00,105
12/10/2004 06.00.00,243
12/10/2004 07.00.00,492
12/10/2004 08.00.00,648
12/10/2004 09.00.00,795
12/10/2004 10.00.00,785
12/10/2004 11.00.00,793
12/10/2004 12.00.00,773
12/10/2004 13.00.00,707
12/10/2004 14.00.00,826
12/10/2004 15.00.00,816
12/10/2004 16.00.00,818
12/10/2004 17.00.00,730
12/10/2004 18.00.00,708
12/10/2004 19.00.00,670
12/10/2004 20.00.00,898
12/10/2004 21.00.00,990
12/10/2004 22.00.00,997
12/10/2004 23.00.00,1074
13/10/2004 00.00.00,1164
13/10/2004 01.00.00,1276
13/10/2004 02.00.00,1419
13/10/2004 03.00.00,1558
13/10/2004 04.00.00,1590
13/10/2004 05.00.00,1485
13/10/2004 06.00.00,1205
13/10/2004 07.00.00,908
13/10/2004 08.00.00,878
13/10/2004 09.00.00,286
13/10/2004 10.00.00,281
13/10/2004 11.00.00,859
13/10/2004 12.00.00,818
13/10/2004 13.00.00,832
13/10/2004 14.00.00,831
13/10/2004 15.00.00,892
13/10/2004 16.00.00,795
13/10/2004 17.00.00,726
13/10/2004 18.00.00,759
13/10/2004 19.00.00,731
13/10/2004 20.00.00,834
13/10/2004 21.00.00,970
13/10/2004 22.00.00,1013
13/10/2004 23.00.00,1015
14/10/2004 00.00.00,1004
14/10/2004 01.00.00,1146
14/10/2004 02.00.00,1333
14/10/2004 03.00.00,1434
14/10/2004 04.00.00,1436
14/10/2004 05.00.00,1325
14/10/2004 06.00.00,1080
14/10/2004 07.00.00,758
14/10/2004 08.00.00,659
14/10/2004 09.00.00,747
14/10/2004 10.00.00,776
14/10/2004 11.00.00,788
14/10/2004 12.00.00,746
14/10/2004 13.00.00,726
14/10/2004 14.00.00,675
14/10/2004 15.00.00,679
14/10/2004 16.00.00,711
14/10/2004 17.00.00,653
14/10/2004 18.00.00,615
14/10/2004 19.00.00,537
14/10/2004 20.00.00,553
14/10/2004 21.00.00,769
14/10/2004 22.00.00,884
14/10/2004 23.00.00,908
15/10/2004 00.00.00,770
15/10/2004 01.00.00,906
15/10/2004 02.00.00,1046
15/10/2004 03.00.00,1125
15/10/2004 04.00.00,1097
15/10/2004 05.00.00,992
15/10/2004 06.00.00,725
15/10/2004 07.00.00,544
15/10/2004 08.00.00,519
15/10/2004 09.00.00,501
15/10/2004 10.00.00,578
15/10/2004 11.00.00,639
15/10/2004 12.00.00,620
15/10/2004 13.00.00,560
15/10/2004 14.00.00,684
15/10/2004 15.00.00,603
15/10/2004 16.00.00,540
15/10/2004 17.00.00,509
15/10/2004 18.00.00,539
15/10/2004 19.00.00,648
15/10/2004 20.00.00,689
15/10/2004 21.00.00,902
15/10/2004 22.00.00,853
15/10/2004 23.00.00,939
16/10/2004 00.00.00,825
16/10/2004 01.00.00,879
16/10/2004 02.00.00,1033
16/10/2004 03.00.00,986
16/10/2004 04.00.00,970
16/10/2004 05.00.00,902
16/10/2004 06.00.00,808
16/10/2004 07.00.00,807
16/10/2004 08.00.00,667
16/10/2004 09.00.00,729
16/10/2004 10.00.00,756
16/10/2004 11.00.00,828
16/10/2004 12.00.00,892
16/10/2004 13.00.00,819
16/10/2004 14.00.00,1021
16/10/2004 15.00.00,960
16/10/2004 16.00.00,825
16/10/2004 17.00.00,816
16/10/2004 18.00.00,695
16/10/2004 19.00.00,787
16/10/2004 20.00.00,819
16/10/2004 21.00.00,855
16/10/2004 22.00.00,979
16/10/2004 23.00.00,960
17/10/2004 00.00.00,1118
17/10/2004 01.00.00,1097
17/10/2004 02.00.00,991
17/10/2004 03.00.00,984
17/10/2004 04.00.00,1120
17/10/2004 05.00.00,1217
17/10/2004 06.00.00,1208
17/10/2004 07.00.00,1181
17/10/2004 08.00.00,961
17/10/2004 09.00.00,913
17/10/2004 10.00.00,846
17/10/2004 11.00.00,900
17/10/2004 12.00.00,866
17/10/2004 13.00.00,744
17/10/2004 14.00.00,701
17/10/2004 15.00.00,999
17/10/2004 16.00.00,962
17/10/2004 17.00.00,733
17/10/2004 18.00.00,749
17/10/2004 19.00.00,712
17/10/2004 20.00.00,783
17/10/2004 21.00.00,814
17/10/2004 22.00.00,840
17/10/2004 23.00.00,808
18/10/2004 00.00.00,922
18/10/2004 01.00.00,988
18/10/2004 02.00.00,1116
18/10/2004 03.00.00,1226
18/10/2004 04.00.00,1191
18/10/2004 05.00.00,1074
18/10/2004 06.00.00,759
18/10/2004 07.00.00,576
18/10/2004 08.00.00,514
18/10/2004 09.00.00,616
18/10/2004 10.00.00,646
18/10/2004 11.00.00,599
18/10/2004 12.00.00,608
18/10/2004 13.00.00,549
18/10/2004 14.00.00,537
18/10/2004 15.00.00,512
18/10/2004 16.00.00,497
18/10/2004 17.00.00,407
18/10/2004 18.00.00,398
18/10/2004 19.00.00,436
18/10/2004 20.00.00,444
18/10/2004 21.00.00,597
18/10/2004 22.00.00,761
18/10/2004 23.00.00,779
19/10/2004 00.00.00,788
19/10/2004 01.00.00,746
19/10/2004 02.00.00,788
19/10/2004 03.00.00,842
19/10/2004 04.00.00,818
19/10/2004 05.00.00,772
19/10/2004 06.00.00,669
19/10/2004 07.00.00,517
19/10/2004 08.00.00,404
19/10/2004 09.00.00,441
19/10/2004 10.00.00,485
19/10/2004 11.00.00,479
19/10/2004 12.00.00,474
19/10/2004 13.00.00,544
19/10/2004 14.00.00,640
19/10/2004 15.00.00,602
19/10/2004 16.00.00,593
19/10/2004 17.00.00,530
19/10/2004 18.00.00,490
19/10/2004 19.00.00,474
19/10/2004 20.00.00,454
19/10/2004 21.00.00,470
19/10/2004 22.00.00,513
19/10/2004 23.00.00,571
20/10/2004 00.00.00,603
20/10/2004 01.00.00,666
20/10/2004 02.00.00,675
20/10/2004 03.00.00,684
20/10/2004 04.00.00,688
20/10/2004 05.00.00,645
20/10/2004 06.00.00,594
20/10/2004 07.00.00,458
20/10/2004 08.00.00,371
20/10/2004 09.00.00,448
20/10/2004 10.00.00,467
20/10/2004 11.00.00,438
20/10/2004 12.00.00,424
20/10/2004 13.00.00,431
20/10/2004 14.00.00,452
20/10/2004 15.00.00,473
20/10/2004 16.00.00,652
20/10/2004 17.00.00,348
20/10/2004 18.00.00,826
20/10/2004 19.00.00,648
20/10/2004 20.00.00,409
20/10/2004 21.00.00,529
20/10/2004 22.00.00,405
20/10/2004 23.00.00,461
21/10/2004 00.00.00,486
21/10/2004 01.00.00,335
21/10/2004 02.00.00,664
21/10/2004 03.00.00,-200
21/10/2004 04.00.00,754
21/10/2004 05.00.00,149
21/10/2004 06.00.00,203
21/10/2004 07.00.00,332
21/10/2004 08.00.00,446
21/10/2004 09.00.00,524
21/10/2004 10.00.00,347
21/10/2004 11.00.00,634
21/10/2004 12.00.00,404
21/10/2004 13.00.00,-200
21/10/2004 14.00.00,312
21/10/2004 15.00.00,369
21/10/2004 16.00.00,519
21/10/2004 17.00.00,335
21/10/2004 18.00.00,447
21/10/2004 19.00.00,382
21/10/2004 20.00.00,432
21/10/2004 21.00.00,439
21/10/2004 22.00.00,462
21/10/2004 23.00.00,441
22/10/2004 00.00.00,223
22/10/2004 01.00.00,126
22/10/2004 02.00.00,788
22/10/2004 03.00.00,-200
22/10/2004 04.00.00,849
22/10/2004 05.00.00,198
22/10/2004 06.00.00,770
22/10/2004 07.00.00,425
22/10/2004 08.00.00,465
22/10/2004 09.00.00,341
22/10/2004 10.00.00,316
22/10/2004 11.00.00,241
22/10/2004 12.00.00,266
22/10/2004 13.00.00,412
22/10/2004 14.00.00,394
22/10/2004 15.00.00,365
22/10/2004 16.00.00,548
22/10/2004 17.00.00,494
22/10/2004 18.00.00,686
22/10/2004 19.00.00,556
22/10/2004 20.00.00,467
22/10/2004 21.00.00,297
22/10/2004 22.00.00,164
22/10/2004 23.00.00,196
23/10/2004 00.00.00,201
23/10/2004 01.00.00,132
23/10/2004 02.00.00,800
23/10/2004 03.00.00,-200
23/10/2004 04.00.00,872
23/10/2004 05.00.00,127
23/10/2004 06.00.00,217
23/10/2004 07.00.00,394
23/10/2004 08.00.00,545
23/10/2004 09.00.00,523
23/10/2004 10.00.00,471
23/10/2004 11.00.00,534
23/10/2004 12.00.00,414
23/10/2004 13.00.00,533
23/10/2004 14.00.00,230
23/10/2004 15.00.00,365
23/10/2004 16.00.00,565
23/10/2004 17.00.00,420
23/10/2004 18.00.00,490
23/10/2004 19.00.00,526
23/10/2004 20.00.00,460
23/10/2004 21.00.00,255
23/10/2004 22.00.00,283
23/10/2004 23.00.00,271
24/10/2004 00.00.00,315
24/10/2004 01.00.00,227
24/10/2004 02.00.00,243
24/10/2004 03.00.00,-200
24/10/2004 04.00.00,731
24/10/2004 05.00.00,139
24/10/2004 06.00.00,182
24/10/2004 07.00.00,196
24/10/2004 08.00.00,108
24/10/2004 09.00.00,175
24/10/2004 10.00.00,266
24/10/2004 11.00.00,179
24/10/2004 12.00.00,154
24/10/2004 13.00.00,95
24/10/2004 14.00.00,151
24/10/2004 15.00.00,667
24/10/2004 16.00.00,670
24/10/2004 17.00.00,306
24/10/2004 18.00.00,472
24/10/2004 19.00.00,532
24/10/2004 20.00.00,375
24/10/2004 21.00.00,147
24/10/2004 22.00.00,118
24/10/2004 23.00.00,181
25/10/2004 00.00.00,209
25/10/2004 01.00.00,167
25/10/2004 02.00.00,112
25/10/2004 03.00.00,-200
25/10/2004 04.00.00,875
25/10/2004 05.00.00,181
25/10/2004 06.00.00,253
25/10/2004 07.00.00,521
25/10/2004 08.00.00,649
25/10/2004 09.00.00,516
25/10/2004 10.00.00,487
25/10/2004 11.00.00,524
25/10/2004 12.00.00,565
25/10/2004 13.00.00,451
25/10/2004 14.00.00,568
25/10/2004 15.00.00,605
25/10/2004 16.00.00,392
25/10/2004 17.00.00,814
25/10/2004 18.00.00,860
25/10/2004 19.00.00,352
25/10/2004 20.00.00,742
25/10/2004 21.00.00,492
25/10/2004 22.00.00,464
25/10/2004 23.00.00,258
26/10/2004 00.00.00,311
26/10/2004 01.00.00,231
26/10/2004 02.00.00,822
26/10/2004 03.00.00,820
26/10/2004 04.00.00,897
26/10/2004 05.00.00,138
26/10/2004 06.00.00,228
26/10/2004 07.00.00,572
26/10/2004 08.00.00,581
26/10/2004 09.00.00,545
26/10/2004 10.00.00,593
26/10/2004 11.00.00,602
26/10/2004 12.00.00,624
26/10/2004 13.00.00,484
26/10/2004 14.00.00,597
26/10/2004 15.00.00,688
26/10/2004 16.00.00,760
26/10/2004 17.00.00,918
26/10/2004 18.00.00,952
26/10/2004 19.00.00,685
26/10/2004 20.00.00,468
26/10/2004 21.00.00,239
26/10/2004 22.00.00,175
26/10/2004 23.00.00,169
27/10/2004 00.00.00,685
27/10/2004 01.00.00,115
27/10/2004 02.00.00,94
27/10/2004 03.00.00,-200
27/10/2004 04.00.00,946
27/10/2004 05.00.00,132
27/10/2004 06.00.00,295
27/10/2004 07.00.00,517
27/10/2004 08.00.00,555
27/10/2004 09.00.00,429
27/10/2004 10.00.00,561
27/10/2004 11.00.00,427
27/10/2004 12.00.00,445
27/10/2004 13.00.00,538
27/10/2004 14.00.00,556
27/10/2004 15.00.00,370
27/10/2004 16.00.00,257
27/10/2004 17.00.00,266
27/10/2004 18.00.00,403
27/10/2004 19.00.00,275
27/10/2004 20.00.00,338
27/10/2004 21.00.00,176
27/10/2004 22.00.00,159
27/10/2004 23.00.00,147
28/10/2004 00.00.00,99
28/10/2004 01.00.00,878
28/10/2004 02.00.00,109
28/10/2004 03.00.00,-200
28/10/2004 04.00.00,936
28/10/2004 05.00.00,163
28/10/2004 06.00.00,326
28/10/2004 07.00.00,640
28/10/2004 08.00.00,736
28/10/2004 09.00.00,667
28/10/2004 10.00.00,677
28/10/2004 11.00.00,425
28/10/2004 12.00.00,349
28/10/2004 13.00.00,332
28/10/2004 14.00.00,412
28/10/2004 15.00.00,631
28/10/2004 16.00.00,446
28/10/2004 17.00.00,761
28/10/2004 18.00.00,650
28/10/2004 19.00.00,262
28/10/2004 20.00.00,292
28/10/2004 21.00.00,177
28/10/2004 22.00.00,890
28/10/2004 23.00.00,127
29/10/2004 00.00.00,925
29/10/2004 01.00.00,83
29/10/2004 02.00.00,65
29/10/2004 03.00.00,-200
29/10/2004 04.00.00,1010
29/10/2004 05.00.00,200
29/10/2004 06.00.00,242
29/10/2004 07.00.00,366
29/10/2004 08.00.00,404
29/10/2004 09.00.00,566
29/10/2004 10.00.00,169
29/10/2004 11.00.00,419
29/10/2004 12.00.00,603
29/10/2004 13.00.00,589
29/10/2004 14.00.00,706
29/10/2004 15.00.00,592
29/10/2004 16.00.00,305
29/10/2004 17.00.00,371
29/10/2004 18.00.00,465
29/10/2004 19.00.00,390
29/10/2004 20.00.00,227
29/10/2004 21.00.00,284
29/10/2004 22.00.00,211
29/10/2004 23.00.00,297
30/10/2004 00.00.00,351
30/10/2004 01.00.00,259
30/10/2004 02.00.00,214
30/10/2004 03.00.00,-200
30/10/2004 04.00.00,826
30/10/2004 05.00.00,857
30/10/2004 06.00.00,237
30/10/2004 07.00.00,413
30/10/2004 08.00.00,455
30/10/2004 09.00.00,592
30/10/2004 10.00.00,482
30/10/2004 11.00.00,521
30/10/2004 12.00.00,481
30/10/2004 13.00.00,406
30/10/2004 14.00.00,419
30/10/2004 15.00.00,387
30/10/2004 16.00.00,461
30/10/2004 17.00.00,493
30/10/2004 18.00.00,532
30/10/2004 19.00.00,581
30/10/2004 20.00.00,551
30/10/2004 21.00.00,392
30/10/2004 22.00.00,311
30/10/2004 23.00.00,236
31/10/2004 00.00.00,757
31/10/2004 01.00.00,199
31/10/2004 02.00.00,146
31/10/2004 03.00.00,905
31/10/2004 04.00.00,1035
31/10/2004 05.00.00,55
31/10/2004 06.00.00,43
31/10/2004 07.00.00,46
31/10/2004 08.00.00,139
31/10/2004 09.00.00,169
31/10/2004 10.00.00,254
31/10/2004 11.00.00,303
